record_type,stage,dofile,step,description,rows_in,rows_dropped,rows_out,cases_in,cases_dropped,cases_out,case_grain,province,municipality,item,harmonized_nsu_unit,corrected_unit,reason,notes
stage_summary,0 - raw,(raw data),,Raw market-survey weighings (PSPS NSU Market Survey Launch.dta),,,11495,,,,,,,,,,,Input to dofiles/cleaning_Aug11.do
stage_summary,1,dofiles/cleaning_Aug11.do,1a,Drop the one comment-flagged data-entry error (enumerator re-entered 225 weight for the 187.5 price mark),11495,1,11494,,,,,,,,,,,
stage_summary,1,dofiles/cleaning_Aug11.do,1b,Drop MS weighings with no matching master_nsu_rename row,11494,0,11494,,,,,,,,,,,"master_nsu_rename.csv's universe is the union of MS and price at the raw-label grain, so every MS weighing is expected to match; verified 0 unmatched"
stage_summary,1,dofiles/cleaning_Aug11.do,1c,"Drop standard-quantity label weighings (10 raw labels name their own quantity, e.g. 'bottle (500 ml)', '1/2 sack of rice (25kls.)')",11494,33,11461,,,,,,,,,,,Exported to outputs/master_rename_build/tables/excluded_standard_unit_obs.xlsx; these are not NSUs and are reconciled by hand on the PSPS side
stage_summary,1,dofiles/cleaning_Aug11.do,1d,Drop TIGBAUAN fresh fish 'bilog' rows with no stated price (SurveyCTO glitch),11461,3,11458,,,,,,,,,,,docs/data_oddities.md section 6
stage_summary,1,dofiles/cleaning_Aug11.do,TOTAL,Stage 1 output = outputs/master_rename_build/temp/nsu_data_master.dta,11495,37,11458,2020,,2020,province x municipality x item x harmonized_nsu_unit x corrected_unit,,,,,,,"0 cases lost in Stage 1 -- all drops here are individual weighings, no case loses every one of its rows"
stage_summary,2,dofiles/nsu_restate_weights.do,2a,Drop vendor-priced price-quantity rows where the case keeps a preloaded rung (74 of 95 vendor-priced rows; 21 rescued and flagged price_source=='vendor_actual' because dropping them would have deleted their case's only price-quantity rung),11458,74,11384,2020,1,2019,province x municipality x item x harmonized_nsu_unit x corrected_unit,,,,,,,"1 case lost here (all-branch, fine grain): NEGROS OCCIDENTAL/ENRIQUE B. MAGALONA (SARAVIA)/ice cream, sorbet, edible ice/putos/mL -- see case_detail row below for the mechanism (a grain mismatch in the rescue rule, not a bug in the intended policy)"
stage_summary,2,dofiles/nsu_restate_weights.do,TOTAL,Stage 2 output = outputs/master_rename_build/temp/nsu_weights_restated.dta,11458,74,11384,2020,1,2019,,,,,,,,
case_detail,2,dofiles/nsu_restate_weights.do,,Case emptied of its only price-quantity row by the vendor-priced-row rescue rule,,,,,,,province x municipality x item x harmonized_nsu_unit x corrected_unit,NEGROS OCCIDENTAL,ENRIQUE B. MAGALONA (SARAVIA),"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,mL,restate rescue-rule grain mismatch,"The rescue rule in nsu_restate_weights.do decides 'does this case keep a preloaded rung' at the grain province x municipality x item x harmonized_nsu_unit -- WITHOUT corrected_unit. Ice cream is a mixed-dimension item (docs/data_oddities.md sec.4), so this case splits into a g case and an mL case downstream. The g-side had a preloaded row and survived; the mL-side's only price-quantity row was vendor-priced (actual_price=12) and got dropped because the rule saw the g-side's preloaded row as 'this case keeps a preloaded rung' and pooled across both corrected_unit splits. At the grain the pipeline actually pools on, the mL case had nothing to fall back on and lost its only price-quantity observation. Not corrected here per the no-.do-edits rule; fix is to add corrected_unit to the rescue rule's grouping variables."
stage_summary,3,dofiles/nsu_reference_set.do,3a,Drop rows with no usable w_ref (missing corrected_weight),11384,7,11377,2019,4,2015,province x municipality x item x harmonized_nsu_unit x corrected_unit,,,,,,,"7 rows: 4 price-quantity (CAPIZ/TAPAZ/chicken/whole (chicken), blank field weight) + 3 size-based (CAPIZ/PANITAN fresh fish; CAPIZ/PANAY prawns 'cup', flagged 'genuinely unsure -- 5g per cup'; CAPIZ/PANAY mineral water 'distilled water', flagged 'genuinely unsure -- 0.007 L'). All 4 rows' cases vanish entirely because none has another row with a usable corrected_unit."
