id,image_code,tier,provisional,verdict,photo_value,photo_unit,reading_source,photo_read_raw,corrected_weight,ratio,rawtick,raw_weight,stratum,pkg_seen,h_glare_flag,evidence,reviewer,rdate,reviewer_note
10028,1773721624084,A human,0,confirm,490,g,scale,0.49,490,1,grams (g),490,C1 dual-ticked,0,0,g 490 read from photograph; published 490,"photo review, human_v1 + calib_v1",2026-09-20,"mL not legible from packaging, hence adopt the kg reading from the scale"
10047,1773721978047,A human,0,confirm,485,g,scale,0.485,485,1,grams (g),485,C1 dual-ticked,0,0,g 485 read from photograph; published 485,"photo review, human_v1 + calib_v1",2026-09-20,"mL not legible from packaging, hence adopt the kg reading from the scale"
9510,1773728699938,A human,0,confirm,670,g,scale,0.67,670,1,grams (g),.67000002,C2 magnitude,0,0,g 670 read from photograph; published 670,"photo review, human_v1 + calib_v1",2026-09-20,
9999,1773730396940,A human,0,confirm,300,g,scale,0.3,300,1,grams (g),300,C1 liquid as mass,0,0,g 300 read from photograph; published 300,"photo review, human_v1 + calib_v1",2026-09-20,
10000,1773730426188,A human,0,confirm,450,g,scale,0.45,450,1,grams (g),450,C1 liquid as mass,0,0,g 450 read from photograph; published 450,"photo review, human_v1 + calib_v1",2026-09-20,
9479,1773794488084,A human,0,confirm,545,g,scale,0.545,545,1,grams (g),.54500002,C2 magnitude,0,0,g 545 read from photograph; published 545,"photo review, human_v1 + calib_v1",2026-09-20,
9790,1773880892030,A human,0,confirm,25,g,scale,0.025,25,1,grams (g),.025,C2 magnitude,0,0,g 25 read from photograph; published 25,"photo review, human_v1 + calib_v1",2026-09-20,
9817,1773913217221,A human,0,confirm,575,g,scale,0.575,575,1,grams (g),.57499999,C2 block governs,0,0,g 575 read from photograph; published 575,"photo review, human_v1 + calib_v1",2026-09-20,
9799,1773969859472,A human,0,confirm,25,g,scale,0.025,25,1,grams (g),.025,C2 block governs,0,0,g 25 read from photograph; published 25,"photo review, human_v1 + calib_v1",2026-09-20,
6498,1774321355224,A human,0,confirm,540,g,scale,0.54,540,1,grams (g),.54000002,C2 block governs,0,0,g 540 read from photograph; published 540,"photo review, human_v1 + calib_v1",2026-09-20,"mL not legible from packaging, hence adopt the kg reading from the scale"
7576,1774419159052,A human,0,confirm,105,g,scale,0.105,105,1,grams (g),.105,C2 block governs,0,0,g 105 read from photograph; published 105,"photo review, human_v1 + calib_v1",2026-09-20,
7625,1774422255907,A human,0,confirm,950,g,scale,0.95,950,1,Litres (L),.94999999,C1 solid as Litres,0,0,g 950 read from photograph; published 950,"photo review, human_v1 + calib_v1",2026-09-20,scale turned sideways
7639,1774487698787,A human,0,confirm,240,g,scale,0.24,240,1,grams (g),.23999999,C1 liquid as mass,0,0,g 240 read from photograph; published 240,"photo review, human_v1 + calib_v1",2026-09-20,240 grams (0.24 kg)
5918,1774492836874,A human,0,confirm,300,g,scale,0.3,300,1,grams (g),300,C1 liquid as mass,0,1,g 300 read from photograph; published 300,"photo review, human_v1 + calib_v1",2026-09-20,
5375,1774576272386,A human,0,confirm,800,mL,package,800 mL,800,1,Litres (L),.80000001,C1 dual-ticked,0,0,mL 800 read from photograph; published 800,"photo review, human_v1 + calib_v1",2026-09-20,"scale present, but volume marked on pacakge (800 mL); prioritize the volume label"
5443,1774578054508,A human,0,confirm,1175,g,scale,1.175,1175,1,Litres (L),.001175,C1 solid as Litres,0,0,g 1175 read from photograph; published 1175,"photo review, human_v1 + calib_v1",2026-09-20,
10269,1774669586277,A human,0,confirm,45,g,scale,0.045,45,1,grams (g),.045000002,C2 review queue,0,0,g 45 read from photograph; published 45,"photo review, human_v1 + calib_v1",2026-09-20,
9045,1775521072842,A human,0,confirm,140,g,scale,0.14,140,1,grams (g),.14,C2 magnitude,0,0,g 140 read from photograph; published 140,"photo review, human_v1 + calib_v1",2026-09-20,scale turned sideways
9068,1775610644371,A human,0,confirm,405,g,scale,0.405,405,1,grams (g),.405,C1 liquid as mass,0,1,g 405 read from photograph; published 405,"photo review, human_v1 + calib_v1",2026-09-20,
8435,1775696058786,A human,0,confirm,520,g,scale,0.52,520,1,grams (g),.51999998,C2 block governs,0,0,g 520 read from photograph; published 520,"photo review, human_v1 + calib_v1",2026-09-20,
4996,1775703652194,A human,0,confirm,130,g,scale,0.13,130,1,grams (g),.13,C2 magnitude,0,1,g 130 read from photograph; published 130,"photo review, human_v1 + calib_v1",2026-09-20,
5184,1775866549083,A human,0,confirm,80,g,scale,0.08,80,1,grams (g),.079999998,C2 review queue,0,0,g 80 read from photograph; published 80,"photo review, human_v1 + calib_v1",2026-09-20,
4196,1775875357769,A human,0,confirm,560,g,scale,0.56,560,1,grams (g),.5600000000000001,C2 block governs,0,1,g 560 read from photograph; published 560,"photo review, human_v1 + calib_v1",2026-09-20,Not sure if tared (taring required weighing the empty container first I think)
4312,1776219074931,A human,0,confirm,440,g,scale,0.44,440,1,grams (g),440,C1 liquid as mass,0,0,g 440 read from photograph; published 440,"photo review, human_v1 + calib_v1",2026-09-20,
2535,1776665292134,A human,0,confirm,270,g,scale,0.27,270,1,grams (g),.27000001,C2 block governs,0,1,g 270 read from photograph; published 270,"photo review, human_v1 + calib_v1",2026-09-20,
2548,1776735202324,A human,0,confirm,60,g,scale,0.06,60,1,grams (g),.059999999,C2 magnitude,0,1,g 60 read from photograph; published 60,"photo review, human_v1 + calib_v1",2026-09-20,
2460,1777082700414,A human,0,confirm,215,g,scale,0.215,215,1,grams (g),.215,C2 magnitude,0,0,g 215 read from photograph; published 215,"photo review, human_v1 + calib_v1",2026-09-20,
924,1777427847332,A human,0,confirm,65,g,scale,0.065,65,1,grams (g),.064999998,C2 magnitude,0,0,g 65 read from photograph; published 65,"photo review, human_v1 + calib_v1",2026-09-20,
110,1778117239723,A human,0,confirm,205,g,scale,0.205,205,1,grams (g),.205,C2 magnitude,0,0,g 205 read from photograph; published 205,"photo review, human_v1 + calib_v1",2026-09-20,
71,1778207894293,A human,0,confirm,500,g,scale,0.5,500,1,grams (g),.5,C2 magnitude,0,1,g 500 read from photograph; published 500,"photo review, human_v1 + calib_v1",2026-09-20,
8882,1778288077794,A human,0,confirm,400,g,scale,0.4,400,1,Litres (L),.40000001,C1 solid as Litres,0,1,g 400 read from photograph; published 400,"photo review, human_v1 + calib_v1",2026-09-20,
7226,1778722214887,A human,0,confirm,2095,g,scale,2.095,2060,1.016990291262136,Kilograms (Kgs),2060,C2 block governs,0,0,g 2095 read from photograph; published 2060,"photo review, human_v1 + calib_v1",2026-09-20,
7843,1778834502177,A human,0,confirm,440,g,scale,0.44,440,1,grams (g),.44,C1 liquid as mass,0,0,g 440 read from photograph; published 440,"photo review, human_v1 + calib_v1",2026-09-20,
9424,1773724826947,A human,0,correct,60,g,scale,0.06,600,.1,grams (g),.60000002,C2 block governs,0,0,g 60 read from photograph; published 600,"photo review, human_v1 + calib_v1",2026-09-20,
9995,1773730865630,A human,0,correct,355,mL,package,355 mL,760,.4671052631578947,grams (g),760,C1 liquid as mass,0,0,mL 355 read from photograph; published 760,"photo review, human_v1 + calib_v1",2026-09-20,both mL from packaging and kg from scale are legible from the photo. We should prioritize the volume reading from the packaging in such cases.
9994,1773731054952,A human,0,correct,355,mL,package,355 mL,700,.5071428571428571,grams (g),700,C1 liquid as mass,0,0,mL 355 read from photograph; published 700,"photo review, human_v1 + calib_v1",2026-09-20,both mL (355 mL) from packaging and 0.7 kg from scale are legible from the photo. We should prioritize the volume reading from the packagin (355 mL) in such cases.
9461,1773796774872,A human,0,correct,40,g,scale,0.04,400,.1,grams (g),.40000001,C2 review queue,0,0,g 40 read from photograph; published 400,"photo review, human_v1 + calib_v1",2026-09-20,
6202,1773810007262,A human,0,correct,95,g,scale,0.095,950,.1,grams (g),.94999999,C2 review queue,0,0,g 95 read from photograph; published 950,"photo review, human_v1 + calib_v1",2026-09-20,
9471,1773969164870,A human,0,review,30,g,scale,0.03,25,1.2,grams (g),.025,C2 block governs,0,1,g 30 read from photograph; published 25,"photo review, human_v1 + calib_v1",2026-09-20,
3887,1775787569138,A human,0,review,45,g,scale,0.045,450,.1,grams (g),.44999999,C2 block governs,0,1,g 45 read from photograph; published 450,"photo review, human_v1 + calib_v1",2026-09-20,
5077,1773710954464,B model,1,confirm,200,g,scale,0.200,200,1,grams (g),.2,C2 magnitude,0,0,g 200 read from photograph; published 200,"photo review, human_v1 + calib_v1",2026-09-20,
9460,1773723476270,B model,1,confirm,185,g,scale,0.185,185,1,grams (g),.185,C2 block governs,0,0,g 185 read from photograph; published 185,"photo review, human_v1 + calib_v1",2026-09-20,
9509,1773728678859,B model,1,confirm,470,g,scale,0.470,470,1,grams (g),.47,C2 magnitude,0,0,g 470 read from photograph; published 470,"photo review, human_v1 + calib_v1",2026-09-20,
6192,1773801717143,B model,1,confirm,355,g,scale,0.355,355,1,grams (g),.35499999,C2 review queue,0,0,g 355 read from photograph; published 355,"photo review, human_v1 + calib_v1",2026-09-20,
9571,1773881530966,B model,1,confirm,150,g,scale,0.150,150,1,grams (g),.15000001,C2 magnitude,0,0,g 150 read from photograph; published 150,"photo review, human_v1 + calib_v1",2026-09-20,
9710,1773882134028,B model,1,confirm,235,g,scale,0.235,235,1,grams (g),.235,C2 magnitude,0,0,g 235 read from photograph; published 235,"photo review, human_v1 + calib_v1",2026-09-20,
9668,1773897368621,B model,1,confirm,675,g,scale,0.675,675,1,Litres (L),.67500001,C1 solid as Litres,0,0,g 675 read from photograph; published 675,"photo review, human_v1 + calib_v1",2026-09-20,
