record_type,outcome,stage,step,dofile,description,rows_in,rows_dropped,rows_out,grain,reason,notes
stage,shared,0 raw,,(raw survey),Raw market-survey weighings as collected,,,11495,weighing,,PSPS NSU Market Survey Launch.dta
stage,shared,1 arrival,1a,00_shared/03_clean_ms.do,Comment-flagged data-entry errors and other hand-identified drops,11495,4,11491,weighing,a field comment identifies the row as mis-entered,the residual of stage 1 once the non-NSU labels are accounted for
stage,shared,1 arrival,1b,00_shared/03_clean_ms.do,Labels that are not non-standard units,11491,58,11433,weighing,ambiguous 0; quantity 0; not 0; a 0; unit 0; standard 0; quantity 0;,rule owned by 02_drop_non_nsu_labels.py; rows listed with their reason in excluded_standard_unit_obs.xlsx. Dropped BEFORE the magnitude snap so they never pollute an anchor pool
stage,shared,2 priced,2,00_shared/07_cpi_factor.do,Price-quantity weighings whose recorded price was not the amount handed over,11433,98,11335,weighing,vendor gave no price at all (approx_price == 1); or vendor-priced where the case keeps a preloaded rung,"23 vendor-priced rows are RESCUED rather than dropped, where they were the case's only rung -- losing a case entirely is worse than the problem the drop solves. price_source records which is which"
stage,shared,2 priced,2x,00_shared/07_cpi_factor.do,SHARED CHAIN ENDS HERE -- nsu_weighings_cpi.dta is what both outcomes read,,,11335,weighing,,"carries cpi_factor, and branch/d_reclassified from 08_branch.do"
stage,outcome 1,3 eligible,3a,10_reference_set/10_size_assignmen,Weighings with no defensible weight,11335,8,11327,weighing,corrected_weight is .c -- no interpretation rescues the reading,"set by hand in 05_manual_corrections.do rather than deleted, so this ledger can still account for them"
stage,outcome 1,3 eligible,3b,10_reference_set/10_size_assignmen,unique_mun_price weighings,11327,33,11294,weighing,"a unique municipal price is not a size, and Outcome 1 publishes grams BY SIZE",Outcome 2 keeps these rows -- they are price-quantity weighings with a real pull_price. See A16 and issue #23
stage,outcome 1,3 eligible,3c,10_reference_set/10_size_assignmen,The price-quantity rows of the one mixed-branch cell,11294,27,11267,weighing,ILOILO / TIGBAUAN carrot -- bilog (size-based) and pieces or units (price-quantity) fold to one harmonized unit,"Outcome 1 takes the size-based rows of that cell and Outcome 2 takes the price-quantity ones, so neither outcome mixes branches inside a case"
aggregation,outcome 1,4 published,4,10_reference_set/12_publish_refere,Collapse to one row per case x size -- NOTHING IS DISCARDED,11267,,2550,case x size,,rows_dropped is deliberately missing: the unit of observation changes from a weighing to a group. The weighings sum back exactly -- n_g totals 11267
detail,outcome 1,4 published,,10_reference_set/12_publish_refere,Published rows resting on fewer than 3 weighings,,,513,case x size,,"d_thin. Not attrition -- these rows ship, flagged, and n_g is published so a reader can set their own cut"
detail,outcome 1,4 published,,10_reference_set/12_publish_refere,Cells that lost their size ladder to the L1 collapse,,,486,case,,fallback_level == 1. Any thin rung collapses a cell of TWO OR MORE rungs to one pooled median; a one-rung cell keeps its own size label because nothing would be pooled
