image_code,h_display_raw,h_display_val,h_unit_named,h_exact_available,reading_source,h_legible_raw,h_legible_yes,h_glare_flag,h_scale_present,h_notes,id,filename
1773890518371,0.120,0.12,,1,scale,Y,1,0,1,,7820,1773890518371.jpg
1776749502966,0.255,0.255,,1,scale,Y,1,0,1,,2552,1776749502966.jpg
1773975938588,0.845,0.845,,1,scale,Y,1,0,1,(weighed with container - maybe also tared?),9647,1773975938588.jpg
1774318876014,0.220,0.22,,1,scale,Y,1,0,1,,9318,1774318876014.jpg
1773722622896,0.085,0.085,,1,scale,Y,1,0,1,presumably tared,6545,1773722622896.jpg
1775881831214,0.445,0.445,,1,scale,Y,1,0,1,,8046,1775881831214.jpg
1777343511311,0.045,0.045,,1,scale,Y,1,0,1,,11246,1777343511311.jpg
1773893158345,0.065,0.065,,1,scale,Y,1,0,1,,9637,1773893158345.jpg
1777448700919,0.395,0.395,,1,scale,Y,1,0,1,,855,1777448700919.jpg
1773890538111,0.150,0.15,,1,scale,Y,1,0,1,,7821,1773890538111.jpg
1774320998883,0.705,0.705,,1,scale,Y,1,1,1,"very unsure, bad glare",9287,1774320998883.jpg
1776749986707,0.240,0.24,,1,scale,Y,1,0,1,,2546,1776749986707.jpg
1773992412689,0.055,0.055,,1,scale,Y,1,0,1,,9646,1773992412689.jpg
1773885855980,0.390,0.39,,1,scale,Y,1,0,1,,9614,1773885855980.jpg
1775703284677,0.975,0.975,,1,scale,Y,1,0,1,,8478,1775703284677.jpg
1773909424751,0.170,0.17,,1,scale,Y,1,0,1,,9748,1773909424751.jpg
1775881966545,0.170,0.17,,1,scale,Y,1,0,1,,8054,1775881966545.jpg
1773730902464,1.830,1.83,,1,scale,Y,1,0,1,Weighed with container (presumably not tared),9996,1773730902464.jpg
1775867539235,0.370,0.37,,1,scale,Y,1,0,1,Weighed with container (presumably not tared),5315,1775867539235.jpg
1774581902994,0.405,0.405,,1,scale,Y,1,0,1,,5484,1774581902994.jpg
1773969852875,0.320,0.32,,1,scale,Y,1,0,1,,9623,1773969852875.jpg
1779256979804,0.465,0.465,,1,scale,Y,1,0,1,,2401,1779256979804.jpg
1773797771519,1.5L,1.5,,1,scale,Y,1,0,1,both mL reading (from container) and kg reading (from scale) are visible; use mL reading,9489,1773797771519.jpg
1773986875251,0.030,0.03,,1,scale,Y,1,0,1,,9648,1773986875251.jpg
1775704731507,0.455,0.455,,1,scale,Y,1,0,1,,8767,1775704731507.jpg
1773910264761,0.530,0.53,,1,scale,Y,1,0,1,,9816,1773910264761.jpg
1777687199972,0.355,0.355,,1,scale,Y,1,0,1,,670,1777687199972.jpg
1778724253291,0.425,0.425,,1,scale,Y,1,0,1,,9682,1778724253291.jpg
1778719778040,0.265,0.265,,1,scale,Y,1,0,1,,8520,1778719778040.jpg
1778895306551,0.200,0.2,,1,scale,Y,1,0,1,,6117,1778895306551.jpg
1776041702218,0.350,0.35,,1,scale,Y,1,0,1,,5152,1776041702218.jpg
1776825532809,0.670,0.67,,1,scale,Y,1,0,1,,3150,1776825532809.jpg
1773722601564,0.075,0.075,,1,scale,Y,1,0,1,,6544,1773722601564.jpg
1775867745173,0.170,0.17,,1,scale,Y,1,0,1,,5146,1775867745173.jpg
1774062582225,0.790,0.79,,1,scale,Y,1,0,1,,9286,1774062582225.jpg
1776665156649,0.120,0.12,,1,scale,Y,1,0,1,,2541,1776665156649.jpg
1778028947163,0.085,0.085,,1,scale,Y,1,0,1,,863,1778028947163.jpg
