id,stratum,rawtick,raw_weight,tiled_agreed,tiled_valhaiku,tiled_valsonnet,hires_type,hires_val,hires_legible,typed_g,haiku_g,sonnet_g,hires_g,ok_haiku,ok_sonnet,ok_hires,fixed,broke
110,C2 magnitude,grams (g),.205,1,.205,.205,scale_with_item,.205,clear,205,205,205,205,1,1,1,0,0
864,C2 magnitude,grams (g),.050000001,1,.05,.05,scale_with_item,.05,clear,50.000001,50,50,50,1,1,1,0,0
2449,C2 magnitude,grams (g),.20999999,1,.21,.21,scale_with_item,.21,clear,209.99999,210,210,210,1,1,1,0,0
2460,C2 magnitude,grams (g),.215,0,215,.215,scale_with_item,.215,clear,215,215,215,215,1,1,1,0,0
2532,C2 magnitude,grams (g),.89499998,0,.0895,.895,scale_with_item,.895,clear,894.9999800000001,89.5,895,895,0,1,1,0,0
4196,C2 block governs,grams (g),.5600000000000001,1,.5600000000000001,.5600000000000001,scale_with_item,.5600000000000001,clear,560,560,560,560,1,1,1,0,0
4311,C1 liquid as mass,grams (g),375,1,.375,.375,scale_with_item,.375,clear,375,375,375,375,1,1,1,0,0
4312,C1 liquid as mass,grams (g),440,0,.14,.44,scale_with_item,.44,clear,440,140,440,440,0,1,1,0,0
4843,C1 liquid as mass,grams (g),435,0,.955,.485,scale_with_item,,ambiguous,435,955,485,,0,0,,,
4935,C2 block governs,grams (g),.155,1,.155,.155,scale_with_item,.155,clear,155,155,155,155,1,1,1,0,0
4976,C2 magnitude,grams (g),.46000001,1,.46,.46,scale_with_item,.46,clear,460.00001,460,460,460,1,1,1,0,0
4996,C2 magnitude,grams (g),.13,1,.13,.13,scale_with_item,.13,clear,130,130,130,130,1,1,1,0,0
5077,C2 magnitude,grams (g),.2,1,.2,.2,scale_with_item,.2,clear,200,200,200,200,1,1,1,0,0
5184,C2 review queue,grams (g),.079999998,0,.05,.08,scale_with_item,.08,clear,79.99999800000001,50,80,80,0,1,1,0,0
5443,C1 solid as Litres,Litres (L),.001175,0,.115,1.175,scale_with_item,1.175,clear,1.175,115,1175,1175,0,0,0,0,0
6192,C2 review queue,grams (g),.35499999,1,.355,.355,scale_with_item,.355,clear,354.99999,355,355,355,1,1,1,0,0
6202,C2 review queue,grams (g),.94999999,0,.005,.095,scale_with_item,.095,clear,949.99999,5,95,95,0,0,0,0,0
6476,C2 block governs,grams (g),.064999998,1,.065,.065,scale_with_item,.065,clear,64.99999800000001,65,65,65,1,1,1,0,0
6498,C2 block governs,grams (g),.54000002,1,.54,.54,scale_with_item,.54,clear,540.0000200000001,540,540,540,1,1,1,0,0
7226,C2 block governs,Kilograms (Kgs),2060,0,2095,2.095,scale_with_item,2.095,clear,2060,2095,2095,2095,1,1,1,0,0
7576,C2 block governs,grams (g),.105,1,.105,.105,scale_with_item,.105,clear,105,105,105,105,1,1,1,0,0
7625,C1 solid as Litres,Litres (L),.94999999,0,.85,.95,scale_with_item,.958,probable,949.99999,850,950,958,0,1,1,0,0
7639,C1 liquid as mass,grams (g),.23999999,0,.007,.24,scale_with_item,.24,clear,239.99999,7,240,240,0,1,1,0,0
7843,C1 liquid as mass,grams (g),.44,1,.44,.44,scale_with_item,.44,clear,440,440,440,440,1,1,1,0,0
8435,C2 block governs,grams (g),.51999998,1,.52,.52,scale_with_item,.52,clear,519.9999800000001,520,520,520,1,1,1,0,0
8474,C1 liquid as mass,grams (g),.47,0,.9399999999999999,.47,scale_with_item,.47,clear,470,940,470,470,0,1,1,0,0
9424,C2 block governs,grams (g),.60000002,0,.08,.06,scale_with_item,.06,clear,600.0000199999999,80,60,60,0,0,0,0,0
9460,C2 block governs,grams (g),.185,1,.185,.185,scale_with_item,.185,clear,185,185,185,185,1,1,1,0,0
9461,C2 review queue,grams (g),.40000001,1,.04,.04,scale_with_item,.04,clear,400.00001,40,40,40,0,0,0,0,0
9471,C2 block governs,grams (g),.025,0,.035,.03,scale_with_item,,ambiguous,25,35,30,,0,0,,,
9479,C2 magnitude,grams (g),.54500002,1,.545,.545,scale_with_item,.545,clear,545.0000200000001,545,545,545,1,1,1,0,0
9509,C2 magnitude,grams (g),.47,0,.075,.47,scale_with_item,.47,clear,470,75,470,470,0,1,1,0,0
9510,C2 magnitude,grams (g),.67000002,1,.67,.67,scale_with_item,.67,clear,670.0000200000001,670,670,670,1,1,1,0,0
9668,C1 solid as Litres,Litres (L),.67500001,0,.655,.675,scale_with_item,.675,clear,675.00001,655,675,675,1,1,1,0,0
9710,C2 magnitude,grams (g),.235,1,.235,.235,scale_with_item,.235,clear,235,235,235,235,1,1,1,0,0
9790,C2 magnitude,grams (g),.025,1,.025,.025,scale_with_item,.025,clear,25,25,25,25,1,1,1,0,0
9799,C2 block governs,grams (g),.025,1,.025,.025,scale_with_item,.025,clear,25,25,25,25,1,1,1,0,0
9817,C2 block governs,grams (g),.57499999,0,.515,.575,scale_with_item,.575,clear,574.99999,515,575,575,0,1,1,0,0
9995,C1 liquid as mass,grams (g),760,0,.66,.76,scale_with_item,.78,clear,760,660,760,780,0,1,1,0,0
10028,C1 dual-ticked,grams (g),490,0,.789,.49,scale_with_item,.49,clear,490,789,490,490,0,1,1,0,0
10269,C2 review queue,grams (g),.045000002,1,.045,.045,scale_with_item,.045,clear,45.00000199999999,45,45,45,1,1,1,0,0
10706,C1 liquid as mass,grams (g),810,1,.8100000000000001,.8100000000000001,scale_with_item,.8100000000000001,clear,810,810,810,810,1,1,1,0,0
10707,C1 liquid as mass,grams (g),750,1,.75,.75,scale_with_item,.75,clear,750,750,750,750,1,1,1,0,0
10965,C1 liquid as mass,grams (g),495,0,.995,.595,scale_with_item,,ambiguous,495,995,595,,0,0,,,
11053,C1 liquid as mass,grams (g),480,0,.08,.49,scale_with_item,.48,probable,480,80,490,480,0,1,1,0,0
11054,C1 liquid as mass,grams (g),610,0,.085,.67,scale_with_item,.67,clear,610,85,670,670,0,0,0,0,0
