reader,prompt_version,tag,label,sheet,id,filename,img_sha16,photo_type,item_on_scale,display_text,has_decimal,display_legible,display_unit_shown,package_text,package_qty,package_unit,notes
haiku_a1,v1.0,calib_v1,0001,sheet_001.jpg,10164,1774498316772.jpg,e08874d205b5a585,item_no_scale,,,,not_visible,,375 mL,375.0,mL,
haiku_a1,v1.0,calib_v1,0002,sheet_001.jpg,10028,1773721624084.jpg,6a8935ea3f9ac665,scale_with_item,True,0.789,True,clear,none_shown,,,,
haiku_a1,v1.0,calib_v1,0003,sheet_001.jpg,6736,1775537032728.jpg,cdb6da83e89cd257,item_no_scale,,,,not_visible,,NET WT. 380 g,380.0,g,
haiku_a1,v1.0,calib_v1,0004,sheet_001.jpg,7625,1774422255907.jpg,75f4422408e20756,scale_with_item,True,0.850,True,clear,none_shown,,,,
haiku_a1,v1.0,calib_v1,0005,sheet_002.jpg,2048,1776833924749.jpg,8fafaab4063672c3,item_no_scale,,,,not_visible,,,,,ice cream cone package
haiku_a1,v1.0,calib_v1,0006,sheet_002.jpg,7576,1774419159052.jpg,d05c7a97f082a5d7,scale_with_item,True,0.105,True,clear,none_shown,,,,
haiku_a1,v1.0,calib_v1,0007,sheet_002.jpg,2548,1776735202324.jpg,04c60eaff0485c88,scale_no_item,False,,,not_visible,none_shown,,,,empty scale
haiku_a1,v1.0,calib_v1,0008,sheet_002.jpg,4940,1775610252743.jpg,82c10f66946aacd8,other,,,,not_visible,,,,,white bowl or saucer with markings
haiku_a1,v1.0,calib_v1,0009,sheet_003.jpg,4610,1776304644527.jpg,df537cccdccf1500,item_no_scale,,,,not_visible,,375 mL,375.0,mL,Tanduay Rhum Dark bottle
haiku_a1,v1.0,calib_v1,0010,sheet_003.jpg,2051,1776912496006.jpg,ca16f3e55504b251,item_no_scale,,,,not_visible,,Cheese wafer,,,"Cal Cheese package, weight text not fully legible"
haiku_a1,v1.0,calib_v1,0011,sheet_003.jpg,9654,1773968836824.jpg,00f267354b9feed0,item_no_scale,,,,not_visible,,,,,Tanduay Rhum Dark bottle
haiku_a1,v1.0,calib_v1,0012,sheet_003.jpg,6405,1774407522026.jpg,ebc57cdbb1572cc0,item_no_scale,,,,not_visible,,,,,Sweet Corn snack package
haiku_a1,v1.0,calib_v1,0013,sheet_004.jpg,6463,1774054625168.jpg,1512f7e7ddedacec,item_no_scale,,,,not_visible,,LAVA CAKE QUEZO CON UBE,,,package on white background
haiku_a1,v1.0,calib_v1,0014,sheet_004.jpg,8882,1778288077794.jpg,03c92bbb0e70aa48,scale_with_item,True,,,ambiguous,none_shown,,,,"scale display difficult to read, appears blank or very dim"
haiku_a1,v1.0,calib_v1,0015,sheet_004.jpg,11421,1779243080681.jpg,1b55ba64a5672eb0,item_no_scale,,,,not_visible,,600 mL,600.0,mL,Nature's Spring water bottle
haiku_a1,v1.0,calib_v1,0016,sheet_004.jpg,2532,1776737899434.jpg,1e1e842f2d8c53ba,scale_with_item,True,0.0895,True,clear,none_shown,,,,
haiku_a1,v1.0,calib_v1,0017,sheet_005.jpg,6498,1774321355224.jpg,7c4f4f3a0f0b4e74,scale_with_item,True,0.540,True,clear,none_shown,,,,pink container on scale
haiku_a1,v1.0,calib_v1,0018,sheet_005.jpg,380,1777345381826.jpg,ed76832caadb1339,item_no_scale,,,,not_visible,,Piatto's cheese flavored potato crisps,,,package weight not fully legible
haiku_a1,v1.0,calib_v1,0019,sheet_005.jpg,10511,1777864638308.jpg,6727e50f661ba02d,scale_with_item,True,,,ambiguous,none_shown,,,,"drink in glass, display difficult to read through liquid"
haiku_a1,v1.0,calib_v1,0020,sheet_005.jpg,3887,1775787569138.jpg,426d21c995c30b5b,scale_with_item,True,,,ambiguous,none_shown,,,,"carrot on scale, display partially obscured and difficult to read"
haiku_a1,v1.0,calib_v1,0021,sheet_006.jpg,763,1777598645411.jpg,00ec0de178577ad5,item_no_scale,,,,not_visible,,375 mL,375.0,mL,Tanduay Rhum Dark bottle held
haiku_a1,v1.0,calib_v1,0022,sheet_006.jpg,10610,1777336641605.jpg,75a0997afa770476,item_no_scale,,,,not_visible,,NET WT. 156 g,156.0,g,Lucky 7 Carne Norte can
haiku_a1,v1.0,calib_v1,0023,sheet_006.jpg,6202,1773810007262.jpg,f2bd5243b0ccc203,scale_with_item,True,0.005,True,clear,none_shown,,,,pale colored item on scale
haiku_a1,v1.0,calib_v1,0024,sheet_006.jpg,9653,1773895333758.jpg,61c968d0c44200fd,item_no_scale,,,,not_visible,,375 mL,375.0,mL,Tanduay Rhum Dark bottle on shelf
haiku_a1,v1.0,calib_v1,0025,sheet_007.jpg,3479,1776910783435.jpg,8b5fbfafae46666a,item_no_scale,,,,not_visible,,,,,Tanduay Rhum bottle held
haiku_a1,v1.0,calib_v1,0026,sheet_007.jpg,6476,1774051090174.jpg,7a38acc10d1a1265,scale_with_item,True,0.065,True,clear,none_shown,,,,fish on scale
haiku_a1,v1.0,calib_v1,0027,sheet_007.jpg,3696,1775613983708.jpg,8d8415198c10125b,item_no_scale,,,,not_visible,,,,,chocolate crispy snack package
haiku_a1,v1.0,calib_v1,0028,sheet_007.jpg,864,1778056525267.jpg,6c562816ecae06ce,scale_with_item,True,0.050,True,clear,none_shown,,,,pink/reddish item on scale
haiku_a1,v1.0,calib_v1,0029,sheet_008.jpg,8837,1778290693824.jpg,d07f9896b7ab95b4,label_closeup,,,,not_visible,,655 mL,655.0,mL,close-up of corn product packaging
haiku_a1,v1.0,calib_v1,0030,sheet_008.jpg,9068,1775610644371.jpg,b854fb57f3771157,scale_with_item,True,,,not_visible,none_shown,,,,"drink on scale, display not visible/blank"
