id,stratum,check,pull_item,rawtick,raw_weight,corrected_weight,rule,photo_typehaiku,photo_typesonnet,ag_scale,scale_present,display_texthaiku,display_textsonnet,ag_disp,ag_dec,disp,disp_mode,mode_inferred,photo_grams,pub_ratio,typed_matches_display,pub_matches_photo,display_legiblehaiku,display_unit_shownhaiku,package_texthaiku,package_qtyhaiku,package_unithaiku,item_on_scalehaiku,noteshaiku,display_legiblesonnet,display_unit_shownsonnet,package_textsonnet,package_qtysonnet,package_unitsonnet,item_on_scalesonnet,notessonnet,both_read,ag_type,scale_h,scale_s,has_disp_h,has_disp_s,both_disp,dec_h,dec_s,abst_h,abst_s,reason,item_nsu_hetero_type,pub_dim,disp_num
71,C2 magnitude,2,cabbage,grams (g),.5,500,log10 median,scale_with_item,scale_with_item,1,1,,,,,,g,1,,,,,not_visible,indeterminate,,,,True,"display blank, all segments faint (8.8.8.8.8 pattern)",not_visible,none_shown,,,,True,"cabbage on scale; display shows dim all-segment/blank pattern, not an active reading",1,1,1,1,0,0,0,,,1,1,C2 magnitude only -- decimal moved,small_size,g,
110,C2 magnitude,2,carrot,grams (g),.205,205,log10 median,scale_with_item,scale_with_item,1,1,0.205,0.205,1,1,0.205,kg,1,205,1,1,1,clear,none_shown,,,,True,Carrot on scale,clear,none_shown,,,,True,carrot on scale,1,1,1,1,1,1,1,1,1,0,0,C2 magnitude only -- decimal moved,medium_size,g,.205
370,C1 dual-ticked,1,"crackers, cookies, buiscuits, chips/curls",grams (g),30,30,block governs,label_closeup,item_no_scale,1,0,,,,,,g,1,,,,,not_visible,,NET WT. 50g,50.0,g,,,not_visible,none_shown,NET WT. 30g,30.0,g,,"snack package back showing nutrition facts, held, no scale",1,0,0,0,0,0,0,,,1,1,4B dual-ticked case,mp25_price,g,
375,C1 solid as Litres,1,"crackers, cookies, buiscuits, chips/curls",Litres (L),295.20001,295,log10 median,label_closeup,item_no_scale,1,0,,,,,,g,1,,,,,not_visible,,,,,,,not_visible,none_shown,Net Weight: 295.2g (12 x 24.6g),295.2,g,,Oreo Original package held,1,0,0,0,0,0,0,,,1,1,4B solid ticked as Litres,mp75_price,g,
377,C1 dual-ticked,1,"crackers, cookies, buiscuits, chips/curls",grams (g),90,90,log10 median,item_no_scale,item_no_scale,1,0,,,,,,g,1,,,,,not_visible,,NET WT. 3.17 oz (90g),90.0,g,,fried snacks with ESPESYAL SUKA flavoring,not_visible,none_shown,NET WT. 3.17 oz (90g),90.0,g,,"Chicharon ni Mang Juan package held, no scale",1,1,0,0,0,0,0,,,1,1,4B dual-ticked case,mp50_price,g,
380,C1 solid as Litres,1,"crackers, cookies, buiscuits, chips/curls",Litres (L),85,85,log10 median,item_no_scale,item_no_scale,1,0,,,,,,g,1,,,,,not_visible,,Piatto's cheese flavored potato crisps,,,,package weight not fully legible,not_visible,none_shown,NET WT. 3.0 oz (85g),85.0,g,,Piattos Cheese chips bag held; thumb partially covers the oz text,1,1,0,0,0,0,0,,,1,1,4B solid ticked as Litres,mp50_price,g,
406,C2 dimension overrule,2,"liquor (e.g, whisky, coconut wine)",grams (g),750,750,log10 median,item_no_scale,item_no_scale,1,0,,,,,,g,1,,,,,not_visible,none_shown,,,,False,Tanduay Light rum bottle,not_visible,none_shown,750 mL,750.0,mL,,Tanduay Rhum Light bottle held,1,1,0,0,0,0,0,,,1,1,C2 dimension only -- tick overruled,large_size,mL,
601,C2 magnitude,2,camote tops,grams (g),.17,170,log10 median,scale_with_item,scale_with_item,1,1,,,,,,g,1,,,,,not_visible,none_shown,,,,True,Plants/vegetables; all display rows very dim,ambiguous,indeterminate,,,,True,"leafy herb bundle on scale; glare partially obscures digits, appears to read approximately 0.1xx",1,1,1,1,0,0,0,,,1,1,C2 magnitude only -- decimal moved,conventional_nsu,g,
683,C2 review queue,2,"preserved or processed meat (tocino, tapa, longaniza, etc)",grams (g),.025,25,block governs,scale_with_item,scale_with_item,1,1,,,,,,g,1,,,,,not_visible,none_shown,,,,True,Meat package; all display rows very dim,not_visible,none_shown,,,,True,"meat wrapped in plastic on scale; display shows dim/blank segments, no clear reading",1,1,1,1,0,0,0,,,1,1,C2 magnitude only -- decimal moved [review queue],municipality_median,g,
763,C1 flat-group rep,1,"liquor (e.g, whisky, coconut wine)",Litres (L),.375,375,log10 median,item_no_scale,item_no_scale,1,0,,,,,,g,1,,,,,not_visible,,375 mL,375.0,mL,,Tanduay Rhum Dark bottle held,not_visible,none_shown,375 mL,375.0,mL,,"Tanduay Rhum Dark bottle held, no scale",1,1,0,0,0,0,0,,,1,1,"4A flat group: 3+ vendors, one value",medium_size,mL,
769,C1 flat-group rep,1,"liquor (e.g, whisky, coconut wine)",Litres (L),.75,750,log10 median,other,item_no_scale,1,0,,,,,,g,1,,,,,not_visible,,,,,,bottles on display shelf,not_visible,none_shown,,,,,six Tanduay Rhum Dark bottles on a shelf; volume text on labels not legible at this distance,1,0,0,0,0,0,0,,,1,1,"4A flat group: 3+ vendors, one value",large_size,mL,
864,C2 magnitude,2,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",grams (g),.050000001,50,log10 median,scale_with_item,scale_with_item,1,1,0.050,0.050,1,1,0.050,kg,1,50,1,1,1,clear,none_shown,,,,True,pink/reddish item on scale,clear,none_shown,,,,True,sausage-like item on scale,1,1,1,1,1,1,1,1,1,0,0,C2 magnitude only -- decimal moved,small_size,g,.05
